city,state,population_density,population_trend,lat,lon
New York,New York,"28,317",+4.43%,40.6635,-73.9387
Los Angeles,California,"8,484",+4.84%,34.0194,-118.4108
Chicago,Illinois,"11,900",+0.35%,41.8376,-87.6818
Houston,Texas,"3,613",+9.68%,29.7866,-95.3909
Phoenix,Arizona,"3,120",+11.72%,33.5722,-112.0901
Philadelphia,Pennsylvania,"11,683",+2.74%,40.0094,-75.1333
San Antonio,Texas,"3,238",+12.44%,29.4724,-98.5251
San Diego,California,"4,325",+7.59%,32.8153,-117.135
Dallas,Texas,"3,866",+10.03%,32.7933,-96.7665
San Jose,California,"5,777",+8.39%,37.2967,-121.8189
Austin,Texas,"3,031",+19.93%,30.3039,-97.7544
Jacksonville,Florida,"1,178",+7.16%,30.3369,-81.6616
San Francisco,California,"18,569",+8.15%,37.7272,-123.0322
Columbus,Ohio,"3,936",+9.28%,39.9852,-82.9848
Indianapolis,Indiana,"2,366",+4.23%,39.7767,-86.1459
Fort Worth,Texas,"2,491",+15.23%,32.7815,-97.3467
Charlotte,North Carolina,"2,757",+15.12%,35.2078,-80.831
Seattle,Washington,"8,405",+15.72%,47.6205,-122.3509
Denver,Colorado,"4,521",+15.48%,39.7619,-104.8811
El Paso,Texas,"2,660",+5.23%,31.8484,-106.427
Washington,District of Columbia,"11,148",+13.20%,38.9041,-77.0172
Boston,Massachusetts,"13,938",+9.00%,42.332,-71.0202
Detroit,Michigan,"4,847",-5.74%,42.383,-83.1022
Nashville,Tennessee,"1,388",+9.84%,36.1718,-86.785
Memphis,Tennessee,"2,056",+0.90%,35.1028,-89.9774
Portland,Oregon,"4,793",+9.61%,45.537,-122.65
Oklahoma City,Oklahoma,"1,053",+10.06%,35.4671,-97.5137
Las Vegas,Nevada,"4,709",+8.42%,36.2292,-115.2601
Louisville,Kentucky,"2,339",+3.17%,38.1654,-85.6474
Baltimore,Maryland,"7,598",-1.01%,39.3,-76.6105
Milwaukee,Wisconsin,"6,186",+0.04%,43.0633,-87.9667
Albuquerque,New Mexico,"2,972",+2.46%,35.1056,-106.6474
Tucson,Arizona,"2,299",+2.04%,32.1531,-110.8706
Fresno,California,"4,563",+5.54%,36.7836,-119.7934
Sacramento,California,"5,059",+6.16%,38.5666,-121.4686
Mesa,Arizona,"3,514",+10.37%,33.4019,-111.7174
Kansas City,Missouri,"1,528",+4.71%,39.1251,-94.551
Atlanta,Georgia,"3,539",+12.50%,33.7629,-84.4227
Long Beach,California,"9,347",+1.70%,33.8092,-118.1553
Colorado Springs,Colorado,"2,378",+11.69%,38.8673,-104.7607
Raleigh,North Carolina,"3,163",+13.61%,35.8306,-78.6418
Miami,Florida,"12,599",+13.55%,25.7752,-80.2086
Virginia Beach,Virginia,"1,850",+3.34%,36.78,-76.0252
Omaha,Nebraska,"3,356",+9.29%,41.2644,-96.0451
Oakland,California,"7,514",+7.49%,37.7698,-122.2257
Minneapolis,Minnesota,"7,660",+8.12%,44.9633,-93.2683
Tulsa,Oklahoma,"2,048",+2.85%,36.1279,-95.9023
Arlington,Texas,"4,100",+7.48%,32.7007,-97.1247
New Orleans,Louisiana,"2,311",+13.86%,30.0534,-89.9345
Wichita,Kansas,"2,431",+1.97%,37.6907,-97.3459
Cleveland,Ohio,"4,965",-2.77%,41.4785,-81.6794
Tampa,Florida,"3,326",+12.35%,27.9701,-82.4797
Bakersfield,California,"2,529",+8.32%,35.3212,-119.0183
Aurora,Colorado,"2,356",+11.27%,39.688,-104.6897
Honolulu,Hawaii,"5,815",+4.31%,21.3243,-157.8476
Anaheim,California,"7,021",+4.39%,33.8555,-117.7601
Santa Ana,California,"12,333",+2.99%,33.7363,-117.883
Corpus Christi,Texas,"1,866",+6.72%,27.7543,-97.1734
Riverside,California,"3,999",+6.86%,33.9381,-117.3932
Lexington,Kentucky,"1,123",+7.66%,38.0407,-84.4583
St. Louis,Missouri,"5,023",-2.47%,38.6357,-90.2446
Stockton,California,"4,977",+5.27%,37.9763,-121.3133
Pittsburgh,Pennsylvania,"5,481",-0.68%,40.4398,-79.9766
Saint Paul,Minnesota,"5,815",+6.08%,44.9489,-93.1041
Cincinnati,Ohio,"3,860",+0.63%,39.1402,-84.5058
Anchorage,Alaska,175,+2.18%,61.1743,-149.2843
Henderson,Nevada,"2,798",+13.67%,36.0097,-115.0357
Greensboro,North Carolina,"2,237",+6.44%,36.0951,-79.827
Plano,Texas,"3,990",+10.09%,33.0508,-96.7479
Newark,New Jersey,"11,691",+1.67%,40.7242,-74.1726
Lincoln,Nebraska,"3,044",+8.51%,40.8105,-96.6803
Toledo,Ohio,"3,451",-3.03%,41.6641,-83.5819
Orlando,Florida,"2,635",+16.31%,28.4166,-81.2736
Chula Vista,California,"5,387",+9.53%,32.6277,-117.0152
Irvine,California,"4,057",+25.31%,33.6784,-117.7713
Fort Wayne,Indiana,"2,391",+4.26%,41.0882,-85.1439
Jersey City,New Jersey,"17,848",+6.69%,40.7114,-74.0648
Durham,North Carolina,"2,395",+15.19%,35.9811,-78.9029
St. Petersburg,Florida,"4,223",+6.63%,27.762,-82.6441
Laredo,Texas,"2,544",+8.92%,27.5604,-99.4892
Buffalo,New York,"6,359",-1.69%,42.8925,-78.8597
Madison,Wisconsin,"3,280",+8.29%,43.0878,-89.4299
Lubbock,Texas,"2,027",+9.99%,33.5656,-101.8867
Chandler,Arizona,"3,813",+4.81%,33.2829,-111.8549
Scottsdale,Arizona,"1,341",+13.46%,33.6843,-111.8611
Glendale,Arizona,"4,161",+8.46%,33.5331,-112.1899
Reno,Nevada,"2,286",+8.90%,39.5491,-119.8499
Norfolk,Virginia,"4,599",+0.95%,36.923,-76.2446
Winston–Salem,North Carolina,"1,828",+5.48%,36.1027,-80.261
North Las Vegas,Nevada,"2,436",+10.02%,36.2857,-115.0939
Irving,Texas,"3,557",+10.17%,32.8577,-96.97
Chesapeake,Virginia,703,+7.08%,36.6794,-76.3018
Gilbert,Arizona,"3,487",+13.76%,33.3103,-111.7431
Hialeah,Florida,"10,995",+5.22%,25.8699,-80.3029
Garland,Texas,"4,122",+3.56%,32.9098,-96.6303
Fremont,California,"3,008",+8.90%,37.4945,-121.9412
Baton Rouge,Louisiana,"2,651",-0.77%,30.4422,-91.1309
Richmond,Virginia,"3,732",+9.28%,37.5314,-77.476
Boise,Idaho,"2,718",+8.50%,43.6002,-116.2317
San Bernardino,California,"3,516",+3.01%,34.1416,-117.2936
Spokane,Washington,"3,144",+3.38%,47.6669,-117.4333
Des Moines,Iowa,"2,424",+5.92%,41.5726,-93.6102
Modesto,California,"4,934",+5.47%,37.6375,-121.003
Birmingham,Alabama,"1,452",-0.04%,33.5274,-86.799
Tacoma,Washington,"4,251",+6.49%,47.2522,-122.4598
Fontana,California,"4,876",+6.93%,34.109,-117.4629
Rochester,New York,"5,835",-0.80%,43.1699,-77.6169
Oxnard,California,"7,729",+5.06%,34.2023,-119.2046
Moreno Valley,California,"4,006",+6.28%,33.9233,-117.2057
Fayetteville,North Carolina,"1,386",+2.09%,35.0828,-78.9735
Aurora,Illinois,"4,479",+1.62%,41.7635,-88.2901
Glendale,California,"6,606",+4.75%,34.1814,-118.2458
Yonkers,New York,"11,156",+2.47%,40.9459,-73.8674
