long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-79.960612,40.473956,148 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/148-46th-st-pittsburgh-pa-15201/id-400033134841/,6,2,2100,1900,135455
-79.974959,40.458919,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-1000049535545/,1,1,1599,1998,408489
-79.974959,40.458919,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-400022755615/,1,2,2063,1998,407451
-79.974959,40.458919,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-1000049533117/,2,2,1914,1998,494603
-79.975064,40.458753,2901 Smallman St 2a,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-2a-pittsburgh-pa-15201/id-400022755617/,3,1,2063,1998,425866
-79.975063,40.458881,2901 Smallman St 2b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-2b-pittsburgh-pa-15201/id-400022755618/,1,2,1861,1998,424103
-79.974959,40.458919,2901 Smallman St 3b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-3b-pittsburgh-pa-15201/id-400029660788/,3,1,1393,1998,319781
-79.974959,40.458919,2901 Smallman St 3ef,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-3ef-pittsburgh-pa-15201/id-400029660794/,2,4,2734,1998,347226
-79.97519100000002,40.458857,2901 Smallman St 5b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5b-pittsburgh-pa-15201/id-400029660779/,1,2,1861,1998,790269
-79.975149,40.458822999999995,2901 Smallman St 5c,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5c-pittsburgh-pa-15201/id-400029660780/,2,2,1393,1998,402772
