long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price,,sort
-79.859562,40.514075,2 Alma Dr,Pittsburgh,PA,15238,https://www.homes.com/property/2-alma-dr-pittsburgh-pa-15238/id-400022775272/,2,1,872,1951,160964,,0.276118277
-79.900446,40.502772,111 Buckingham Rd,Pittsburgh,PA,15215,https://www.homes.com/property/111-buckingham-rd-pittsburgh-pa-15215/id-400022735695/,2,3,2408,1950,522814,,0.514370738
-80.072644,40.444775,83 Sampson St,Pittsburgh,PA,15205,https://www.homes.com/property/83-sampson-st-pittsburgh-pa-15205/id-400022952990/,3,1,1428,1925,117960,,0.044407246
-80.029593,40.384203,237 Valley Park Dr,Pittsburgh,PA,15216,https://www.homes.com/property/237-valley-park-dr-pittsburgh-pa-15216/id-400022667701/,5,4,2634,1988,375883,,0.766406964
-79.959739,40.516713,99 W Littlewood St,Pittsburgh,PA,15223,https://www.homes.com/property/99-w-littlewood-st-pittsburgh-pa-15223/id-400022773009/,4,2,1820,1922,178595,,0.966333478
-79.952103,40.358278,424 Willock Ave,Pittsburgh,PA,15236,https://www.homes.com/property/424-willock-ave-pittsburgh-pa-15236/id-400022752475/,3,2,1224,1949,104179,,0.834390372
-80.079346,40.362062,1821 Sillview Dr,Pittsburgh,PA,15243,https://www.homes.com/property/1821-sillview-dr-pittsburgh-pa-15243/id-400022758961/,4,2,1950,1970,225712,,0.887978711
-79.95526,40.471328,4626 Carlton St,Pittsburgh,PA,15201,https://www.homes.com/property/4626-carlton-st-pittsburgh-pa-15201/id-400022876992/,2,1,1105,1910,113371,,0.462164683
-80.025033,40.41575,1310 Beechview Ave,Pittsburgh,PA,15216,https://www.homes.com/property/1310-beechview-ave-pittsburgh-pa-15216/id-400022683036/,3,1,1232,1952,89890,,0.167311966
-79.891819,40.437128,830 S Trenton Ave,Pittsburgh,PA,15221,https://www.homes.com/property/830-s-trenton-ave-pittsburgh-pa-15221/id-400022701190/,3,3,3360,1900,175583,,0.468976284
-79.999771,40.396996,1748 Ballinger St,Pittsburgh,PA,15210,https://www.homes.com/property/1748-ballinger-st-pittsburgh-pa-15210/id-400022923832/,2,1,1168,1931,80099,,0.537018972
-79.942549,40.448026,825 Morewood Ave G5,Pittsburgh,PA,15213,https://www.homes.com/property/825-morewood-ave-g5-pittsburgh-pa-15213/id-400022889508/,3,2,1609,1960,235666,,0.42232586
-79.859776,40.515453,1323 Powers Run Rd,Pittsburgh,PA,15238,https://www.homes.com/property/1323-powers-run-rd-pittsburgh-pa-15238/id-400022775267/,3,3,1565,1949,289303,,0.767810437
-80.147678,40.516915,7404 Grand Ave,Pittsburgh,PA,15225,https://www.homes.com/property/7404-grand-ave-pittsburgh-pa-15225/id-400022766199/,3,2,1620,1933,125316,,0.528847222
-79.920196,40.430101,2332 Shady Ave,Pittsburgh,PA,15217,https://www.homes.com/property/2332-shady-ave-pittsburgh-pa-15217/id-400022998755/,3,3,1938,1918,287398,,0.538552422
-80.023932,40.414057,1407 Fallowfield Ave,Pittsburgh,PA,15216,https://www.homes.com/property/1407-fallowfield-ave-pittsburgh-pa-15216/id-400022683169/,5,3,2022,1908,94733,,0.863590316
-79.979618,40.461887,46 Waterfront Dr,Pittsburgh,PA,15222,https://www.homes.com/property/46-waterfront-dr-pittsburgh-pa-15222/id-400022755549/,2,3,1998,1998,549449,,0.425668177
-79.964531,40.463908,3512 Penn Ave,Pittsburgh,PA,15201,https://www.homes.com/property/3512-penn-ave-pittsburgh-pa-15201/id-400022878215/,3,2,1729,2005,238842,,0.500426355
-79.950198,40.483166,5428 Butler St,Pittsburgh,PA,15201,https://www.homes.com/property/5428-butler-st-pittsburgh-pa-15201/id-400022629440/,2,1,1776,1910,291811,,0.723008834
-79.902872,40.419642,1234 Pocono St,Pittsburgh,PA,15218,https://www.homes.com/property/1234-pocono-st-pittsburgh-pa-15218/id-400022647916/,3,2,1342,1930,163751,,0.64352784
-80.024934,40.413979,1406 Beechview Ave,Pittsburgh,PA,15216,https://www.homes.com/property/1406-beechview-ave-pittsburgh-pa-15216/id-400022683055/,3,1,1804,1901,117170,,0.805485248
-80.023145,40.41601,1216 Dagmar Ave,Pittsburgh,PA,15216,https://www.homes.com/property/1216-dagmar-ave-pittsburgh-pa-15216/id-1000048307163/,3,3,1360,1956,102195,,0.859720407
-79.963761,40.396833,1034 Towervue Dr,Pittsburgh,PA,15227,https://www.homes.com/property/1034-towervue-dr-pittsburgh-pa-15227/id-400022915002/,3,2,1232,1957,165806,,0.468542968
-80.024119,40.49817,104 Mulkerin Dr,Pittsburgh,PA,15214,https://www.homes.com/property/104-mulkerin-dr-pittsburgh-pa-15214/id-400022685829/,3,2,1294,1960,161043,,0.212854331
-80.027621,40.384503,967 Mccormick Ln,Pittsburgh,PA,15226,https://www.homes.com/property/967-mccormick-ln-pittsburgh-pa-15226/id-400022667802/,4,3,2026,1911,185979,,0.558301214
-79.95775,40.470652,270 Service Way,Pittsburgh,PA,15201,https://www.homes.com/property/270-service-way-pittsburgh-pa-15201/id-400022877059/,2,1,812,1900,138962,,0.072100187
-80.00462,40.461921,1721 Lanark St,Pittsburgh,PA,15214,https://www.homes.com/property/1721-lanark-st-pittsburgh-pa-15214/id-400022736885/,3,1,1188,1962,121701,,0.708084928
-80.008016,40.349494,4716 Gardenville Rd,Pittsburgh,PA,15236,https://www.homes.com/property/4716-gardenville-rd-pittsburgh-pa-15236/id-400022791264/,2,2,1656,1937,149558,,0.726364298
-79.892621,40.436303,910 Mifflin Ave,Pittsburgh,PA,15221,https://www.homes.com/property/910-mifflin-ave-pittsburgh-pa-15221/id-400022701224/,4,2,3556,1920,330763,,0.671622157
-79.86267,40.385,320 Fort Duquesne Blvd 16h,Pittsburgh,PA,15222,https://www.homes.com/property/320-fort-duquesne-blvd-16h-pittsburgh-pa-15222/id-400022605611/,1,1,1064,1964,191800,,0.304377552
-80.046778,40.36144,1361 Washington Rd,Pittsburgh,PA,15228,https://www.homes.com/property/1361-washington-rd-pittsburgh-pa-15228/id-400022757158/,4,4,2523,1930,339090,,0.466569157
-79.980859,40.465179,1826 Elbow St,Pittsburgh,PA,15212,https://www.homes.com/property/1826-elbow-st-pittsburgh-pa-15212/id-400022875486/,3,2,1572,1920,69938,,0.648027279
-80.024238,40.520729,110 Rochester Rd,Pittsburgh,PA,15237,https://www.homes.com/property/110-rochester-rd-pittsburgh-pa-15237/id-1000048693531/,3,1,1320,1900,122756,,0.663667755
-79.908777,40.452769,6833 Meade St 18,Pittsburgh,PA,15208,https://www.homes.com/property/6833-meade-st-18-pittsburgh-pa-15208/id-400022643763/,1,1,840,1950,119337,,0.34155488
-80.015525,40.396502,901 Eathan Ave,Pittsburgh,PA,15226,https://www.homes.com/property/901-eathan-ave-pittsburgh-pa-15226/id-400022923895/,3,1,1100,1955,104567,,0.674548766
-79.845824,40.43035,20 Garden Ter,Pittsburgh,PA,15221,https://www.homes.com/property/20-garden-ter-pittsburgh-pa-15221/id-400022817225/,3,2,1236,1945,129921,,0.321345997
-79.934062,40.486277,4606 Allied Way,Pittsburgh,PA,15201,https://www.homes.com/property/4606-allied-way-pittsburgh-pa-15201/id-400022631588/,2,2,960,1955,158637,,0.93638583
-80.064976,40.570868,2209 Bond St,Pittsburgh,PA,15237,https://www.homes.com/property/2209-bond-st-pittsburgh-pa-15237/id-400022984754/,4,3,2782,1976,382269,,0.87951643
-79.995984,40.470175,1122 S Side Ave,Pittsburgh,PA,15212,https://www.homes.com/property/1122-s-side-ave-pittsburgh-pa-15212/id-400022869371/,2,2,1440,1930,74119,,0.678664641
-79.86107,40.513712,103 Falconhurst Dr N,Pittsburgh,PA,15238,https://www.homes.com/property/103-falconhurst-dr-n-pittsburgh-pa-15238/id-400022775264/,4,3,2105,1962,348869,,0.703801662
-80.006565,40.348148,4750 Mckee Dr,Pittsburgh,PA,15236,https://www.homes.com/property/4750-mckee-dr-pittsburgh-pa-15236/id-400022791517/,3,3,1280,1960,195908,,0.345259609
-80.0325,40.524718,205 Bellevue Ave,Pittsburgh,PA,15229,https://www.homes.com/property/205-bellevue-ave-pittsburgh-pa-15229/id-400022805213/,4,3,1647,1950,191057,,0.874994648
-79.891782,40.420068,2005 Lafayette St,Pittsburgh,PA,15218,https://www.homes.com/property/2005-lafayette-st-pittsburgh-pa-15218/id-400022704192/,2,1,800,1943,38634,,0.05252625
-79.892224,40.420772,1910 Lafayette St,Pittsburgh,PA,15218,https://www.homes.com/property/1910-lafayette-st-pittsburgh-pa-15218/id-400022704104/,2,1,850,1946,45712,,0.510646534
-79.928459,40.451088,5744 Kentucky Ave 2,Pittsburgh,PA,15232,https://www.homes.com/property/5744-kentucky-ave-2-pittsburgh-pa-15232/id-1000018409205/,3,2,1924,1925,314394,,0.189170515
-79.816977,40.47899,287 Yosemite Dr,Pittsburgh,PA,15235,https://www.homes.com/property/287-yosemite-dr-pittsburgh-pa-15235/id-400022855358/,3,2,1519,1961,110369,,0.548939997
-79.81679,40.439474,1430 Jefferson Heights Rd,Pittsburgh,PA,15235,https://www.homes.com/property/1430-jefferson-heights-rd-pittsburgh-pa-15235/id-400022859183/,2,2,1064,1950,82634,,0.7303861
-79.943861,40.467447,4919 Kincaid St,Pittsburgh,PA,15224,https://www.homes.com/property/4919-kincaid-st-pittsburgh-pa-15224/id-400033109240/,4,3,1800,2012,147218,,0.992328898
-80.056296,40.352182,315 Howard Dr,Pittsburgh,PA,15241,https://www.homes.com/property/315-howard-dr-pittsburgh-pa-15241/id-400022793458/,3,1,1163,1950,162478,,0.87054904
-80.057651,40.498582,64 N Jackson Ave,Pittsburgh,PA,15202,https://www.homes.com/property/64-n-jackson-ave-pittsburgh-pa-15202/id-400022683985/,3,1,2136,1900,128119,,0.474308868
-80.083805,40.592879,2417 Bellwood Dr,Pittsburgh,PA,15237,https://www.homes.com/property/2417-bellwood-dr-pittsburgh-pa-15237/id-400022614798/,4,4,2537,1988,360028,,0.976299456
-80.067891,40.407163,24 Florence Dr,Pittsburgh,PA,15220,https://www.homes.com/property/24-florence-dr-pittsburgh-pa-15220/id-400022943558/,3,3,4120,2007,352189,,0.671388073
-79.945164,40.480876,5523 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5523-camelia-st-pittsburgh-pa-15201/id-400022979654/,3,2,1294,1945,123347,,0.605355525
-80.004973,40.468511,429 E Burgess St,Pittsburgh,PA,15214,https://www.homes.com/property/429-e-burgess-st-pittsburgh-pa-15214/id-400022863387/,3,2,1188,1925,75477,,0.198582124
-79.855774,40.51644,622 Driftwood Dr,Pittsburgh,PA,15238,https://www.homes.com/property/622-driftwood-dr-pittsburgh-pa-15238/id-400022775226/,4,4,3240,1965,470071,,0.113503466
-79.847588,40.432869,3741 Margate Rd,Pittsburgh,PA,15221,https://www.homes.com/property/3741-margate-rd-pittsburgh-pa-15221/id-400022817032/,3,3,1938,1960,178380,,0.5872964
-79.964956,40.395755,1210 Michael Dr,Pittsburgh,PA,15227,https://www.homes.com/property/1210-michael-dr-pittsburgh-pa-15227/id-400022915056/,2,1,1000,1960,123388,,0.748949229
-80.073797,40.364012,744 Artvue Dr,Pittsburgh,PA,15243,https://www.homes.com/property/744-artvue-dr-pittsburgh-pa-15243/id-400022758873/,3,3,1243,1959,197783,,0.013587172
-80.070366,40.394626,58 Stancey Rd,Pittsburgh,PA,15220,https://www.homes.com/property/58-stancey-rd-pittsburgh-pa-15220/id-400022940643/,4,3,1890,1970,241395,,0.725046575
-80.024972,40.414616,1338 Beechview Ave,Pittsburgh,PA,15216,https://www.homes.com/property/1338-beechview-ave-pittsburgh-pa-15216/id-400022683050/,3,1,1778,1910,79970,,0.617562856
-80.050623,40.49899,419 Forest Ave,Pittsburgh,PA,15202,https://www.homes.com/property/419-forest-ave-pittsburgh-pa-15202/id-400022684130/,3,2,2364,1905,167171,,0.695935479
-80.051823,40.526009,120 Rose Ave,Pittsburgh,PA,15229,https://www.homes.com/property/120-rose-ave-pittsburgh-pa-15229/id-400022802159/,3,2,1398,1950,184881,,0.111308646
-79.950194,40.455752,103 Morewood Ave,Pittsburgh,PA,15213,https://www.homes.com/property/103-morewood-ave-pittsburgh-pa-15213/id-400022762079/,4,2,2734,1900,207942,,0.114760225
-80.047219,40.360813,1376 Washington Rd,Pittsburgh,PA,15228,https://www.homes.com/property/1376-washington-rd-pittsburgh-pa-15228/id-400022757142/,3,3,2058,1949,230274,,0.613738235
-80.003658,40.375129,2900 Homehurst Ave,Pittsburgh,PA,15234,https://www.homes.com/property/2900-homehurst-ave-pittsburgh-pa-15234/id-400022665207/,3,2,2536,1950,111641,,0.939811318
-79.980167,40.467289,1956 Lowrie St 2,Pittsburgh,PA,15212,https://www.homes.com/property/1956-lowrie-st-2-pittsburgh-pa-15212/id-400022875266/,2,2,1947,1910,74616,,0.800424353
-80.06083,40.497101,28 S Starr Ave,Pittsburgh,PA,15202,https://www.homes.com/property/28-s-starr-ave-pittsburgh-pa-15202/id-400022683901/,3,2,1932,1930,121193,,0.796099944
-79.959077,40.394922,2400 Michael Dr,Pittsburgh,PA,15227,https://www.homes.com/property/2400-michael-dr-pittsburgh-pa-15227/id-400032697513/,5,3,1812,2010,220507,,0.305151828
-80.045485,40.357109,1425 Terrace Dr,Pittsburgh,PA,15228,https://www.homes.com/property/1425-terrace-dr-pittsburgh-pa-15228/id-400038149799/,5,7,7124,2014,737577,,0.687280288
-80.037213,40.358265,883 Macarthur Dr,Pittsburgh,PA,15228,https://www.homes.com/property/883-macarthur-dr-pittsburgh-pa-15228/id-400022757586/,4,3,2016,1981,327785,,0.246087011
