label,prediction
158010,92556.4868328
110410,143983.298256
121967,82535.2452462
111021,150475.888251
122337,230538.500054
45712,82466.0006565
122268,102933.562688
60027,39573.0195272
53227,116267.561404
103135,89126.9858801
130539,143270.970387
44830,76805.3643815
225891,284317.01744
355752,458389.775303
161344,118663.008517
95514,231732.96033
167001,143130.119711
279409,332068.97066
38157,12950.5784648
359305,279451.410885
104537,72463.9357091
203623,150439.471883
185297,91758.6099982
58492,17339.9471042
127726,84641.5103042
50947,93430.3096742
282469,179315.837496
133741,153325.012584
289723,388380.928031
146053,88697.9203331
160755,121495.594698
146521,135535.70676
88830,194382.928694
221409,265376.333628
75627,87877.4309414
239824,235846.771374
293165,261044.094287
228793,379219.037018
189419,146944.675797
130942,198414.968662
306160,168571.888219
108233,119522.625977
185244,88471.3911065
240193,268241.036174
96756,236787.527109
347922,315483.516202
60345,83700.102506
191057,223384.744903
121961,90341.5177648
225949,257409.232234
112566,93957.8557073
119763,79938.1396929
53444,95852.8610461
127662,64022.5127006
84150,315077.056221
473995,421286.366284
202957,87860.1881517
129815,150862.459067
257628,149665.193967
273529,184984.259186
177942,166231.041658
140919,111979.034114
96243,94053.1375269
85393,70786.9426447
193194,172209.553517
85050,86888.3398331
647630,415247.489973
168287,105197.380262
93083,79840.7565077
112350,118717.702341
72073,135038.828103
248524,263692.602401
177932,117220.16631
64359,184933.535078
161168,140249.828837
103885,130687.76096
63227,53908.8818665
364397,236936.498251
270149,202620.241812
83627,90590.8260653
222912,328028.002278
119777,207791.340242
148046,110966.579578
36899,199981.15837
122805,45726.018316
53377,122035.430646
162255,93968.1133463
64567,189188.769143
170865,164820.396587
192274,161925.556752
68252,78328.0153264
57487,34685.2739945
146607,294647.052163
149934,201563.734419
357693,404359.145663
232119,235095.533114
80127,105198.622403
77011,105116.18963
191553,199327.284279
89423,94609.9600296
229181,244229.073841
61002,141671.619458
192551,177314.844883
584781,493441.868099
206017,250141.661959
111706,78600.8879018
122771,165137.882775
125860,152194.459483
137785,177353.811729
45642,242029.999947
102836,154450.269808
210611,188501.627802
162865,95886.6688017
358424,292265.825322
140285,176341.046012
277159,236165.294685
232771,228167.664527
69160,93958.7997631
192022,223429.179417
159161,161196.587131
73767,135312.184201
82100,946.6638495
288584,235897.421376
117485,78839.0738468
152760,200263.58456
75382,64538.5365096
193949,129600.96138
63587,72489.5358771
137770,191620.686772
131505,95515.1166043
67013,103443.907255
79970,113183.883964
337565,302032.851396
377108,291639.703555
96940,229095.601024
359827,237917.523659
87754,60358.7970093
66624,81444.808593
76093,109842.191931
108825,65773.7514392
74119,161351.571242
153631,127141.474829
120690,256029.394009
560633,403520.038254
581205,447403.80026
94355,82243.0813857
242639,174717.1265
326646,255834.990075
122244,169091.927496
131029,144859.71939
169403,262130.334548
90923,95821.0850257
127903,135112.888315
114559,90952.5522053
155916,89714.6245326
172142,211468.636277
66342,256449.455166
288960,356221.691854
743082,483241.993729
127026,209643.959295
219776,185656.576066
312219,397688.722635
97377,111816.370513
105496,238623.678474
267326,257899.482969
46035,62216.39879
736415,323088.95612
188811,139463.505491
110818,86871.4682544
596657,414906.074454
72291,171923.583616
177888,165759.090383
102193,97758.1540173
356031,313797.811989
125246,65969.3629639
166938,71167.688943
403087,581793.306515
287124,328047.024058
78315,307961.216047
287398,260795.023557
599092,291827.930557
133583,129642.828012
106496,41107.1786587
149813,204385.348309
324370,276282.86411
94498,132312.311378
424568,503390.850597
127454,166064.010253
158231,250291.531859
136449,103960.930699
54093,127580.083306
91130,84976.2656904
215607,243254.334011
182793,276606.172707
147548,98144.349754
444246,289912.640514
80591,52472.8441755
205547,297452.515677
202247,296230.026243
78555,55254.8539245
142101,182703.38539
634000,475356.413771
109754,51611.681683
399900,273808.734346
259045,260191.953874
179689,245796.887837
114537,171617.246216
267432,164223.421172
142099,121435.087706
277838,162725.816582
169166,114423.55578
126518,128941.717626
132736,100966.758194
89983,148035.241251
144979,106626.677923
217078,126963.756112
81592,129212.18334
545516,324344.986805
217576,309651.038305
252573,249185.395196
163460,122538.882331
326691,191809.687561
128694,139075.986411
170798,138824.053067
235999,183989.061096
136062,87118.2640776
127402,114910.302905
102809,102049.728189
648523,445155.665074
110369,197580.094322
132455,266583.005154
46104,24333.437479
223821,274578.947015
313036,357829.324879
92883,88710.6802663
158580,221432.269454
342652,163162.443389
156840,355595.478724
79900,66445.2340466
164134,131074.438432
158574,184962.446615
117442,209095.434444
156434,159308.033647
64192,78510.7391947
60100,104901.337493
82965,140097.701179
494323,482541.821325
143877,102427.723188
96903,141671.619458
201204,145111.077971
453188,442282.05061
99260,155377.905657
84916,150271.045117
155564,137467.354305
102746,117553.568341
115976,195805.384164
153127,77922.1110309
122212,142937.846546
212597,310722.850617
188532,237262.654981
278239,349114.135835
90651,122959.838015
150083,178460.937358
48438,182853.276865
763195,477910.541585
80951,137984.121363
174913,229651.844584
212611,268692.691108
84603,67435.9776961
107589,110119.220236
252370,233937.263516
256114,227807.686731
290022,317528.81929
157842,74511.1293487
188950,186739.915711
132378,117079.800101
152028,239948.679981
117348,100843.561603
61996,66808.4547814
204797,113113.260342
75260,91984.585311
145962,168023.313587
124374,80079.77791
139934,190985.367126
152105,24256.3985999
172038,97436.560369
80490,102227.068547
266118,282317.489864
136887,159192.711563
282834,298837.331953
92581,135090.65666
67583,110598.458537
145955,66387.9574721
122661,114560.101513
152289,93694.968987
137958,96082.7556232
796761,701396.833621
150300,78285.1653117
51874,113171.551641
46901,226578.17862
58216,125912.305349
213355,114566.231709
60610,115339.411947
386183,334144.917844
100189,394912.858426
105348,112637.084795
170923,226700.618701
237277,231289.055453
103120,108521.65581
90664,103419.597119
494685,478037.405573
337435,349587.32268
230274,302332.8535
123912,93681.1060756
285662,291050.20268
89764,137289.699333
112929,108473.758668
104348,99608.5348417
153680,136080.267291
182172,169287.812399
136431,137735.562149
45508,45685.4021149
137332,252922.194406
378503,302257.282459
123877,152457.658205
88098,116561.945636
237601,217058.762662
76888,87121.9280372
179391,193449.095318
78937,112975.381469
112113,272615.498173
108745,122336.613695
75734,129134.108613
124804,271262.349121
164226,117872.406963
98603,119385.873941
60524,117066.534655
244550,300679.331964
594461,313207.680372
74939,102305.168851
78592,86141.0128184
132160,205659.318014
75390,205960.981495
119323,278130.541082
147968,106092.105906
139291,37649.1518044
127042,150685.22791
159343,155986.993683
372601,330402.02517
