DATE,MSPNHSUS
1/1/1963,17200
2/1/1963,17700
3/1/1963,18200
4/1/1963,18200
5/1/1963,17500
6/1/1963,18000
7/1/1963,18400
8/1/1963,17800
9/1/1963,17900
10/1/1963,17600
11/1/1963,18400
12/1/1963,18700
1/1/1964,17800
2/1/1964,18000
3/1/1964,19000
4/1/1964,18800
5/1/1964,19300
6/1/1964,18800
7/1/1964,19100
8/1/1964,18900
9/1/1964,18900
10/1/1964,18900
11/1/1964,19300
12/1/1964,21000
1/1/1965,20700
2/1/1965,20400
3/1/1965,19800
4/1/1965,19900
5/1/1965,19600
6/1/1965,19800
7/1/1965,21000
8/1/1965,20200
9/1/1965,19600
10/1/1965,19900
11/1/1965,20600
12/1/1965,20300
1/1/1966,21200
2/1/1966,20900
3/1/1966,20800
4/1/1966,23000
5/1/1966,22300
6/1/1966,21200
7/1/1966,21800
8/1/1966,20700
9/1/1966,22200
10/1/1966,20800
11/1/1966,21700
12/1/1966,21700
1/1/1967,22200
2/1/1967,22400
3/1/1967,22400
4/1/1967,22300
5/1/1967,23700
6/1/1967,23900
7/1/1967,23300
8/1/1967,21700
9/1/1967,22800
10/1/1967,22300
11/1/1967,23100
12/1/1967,22200
1/1/1968,23400
2/1/1968,23500
3/1/1968,24600
4/1/1968,24500
5/1/1968,25300
6/1/1968,25400
7/1/1968,24600
8/1/1968,25000
9/1/1968,25000
10/1/1968,25600
11/1/1968,24600
12/1/1968,26500
1/1/1969,24600
2/1/1969,26000
3/1/1969,26200
4/1/1969,25900
5/1/1969,26900
6/1/1969,25200
7/1/1969,26800
8/1/1969,24900
9/1/1969,26000
10/1/1969,24400
11/1/1969,24900
12/1/1969,25100
1/1/1970,23600
2/1/1970,24100
3/1/1970,24100
4/1/1970,24200
5/1/1970,25700
6/1/1970,23800
7/1/1970,22900
8/1/1970,23500
9/1/1970,22600
10/1/1970,22100
11/1/1970,23500
12/1/1970,22300
1/1/1971,23900
2/1/1971,24500
3/1/1971,24300
4/1/1971,25800
5/1/1971,25500
6/1/1971,26100
7/1/1971,25200
8/1/1971,25300
9/1/1971,25400
10/1/1971,25600
11/1/1971,25700
12/1/1971,25300
1/1/1972,24700
2/1/1972,26500
3/1/1972,27400
4/1/1972,26700
5/1/1972,27000
6/1/1972,26800
7/1/1972,27700
8/1/1972,28100
9/1/1972,28000
10/1/1972,28900
11/1/1972,29100
12/1/1972,29700
1/1/1973,29900
2/1/1973,29700
3/1/1973,31400
4/1/1973,32800
5/1/1973,32000
6/1/1973,33100
7/1/1973,34200
8/1/1973,33200
9/1/1973,33200
10/1/1973,33300
11/1/1973,34000
12/1/1973,35700
1/1/1974,34200
2/1/1974,34900
3/1/1974,36000
4/1/1974,35700
5/1/1974,35700
6/1/1974,35100
7/1/1974,36800
8/1/1974,35700
9/1/1974,36200
10/1/1974,37200
11/1/1974,37300
12/1/1974,37400
1/1/1975,37200
2/1/1975,37900
3/1/1975,38800
4/1/1975,39200
5/1/1975,39500
6/1/1975,37900
7/1/1975,38600
8/1/1975,38200
9/1/1975,39700
10/1/1975,40700
11/1/1975,41100
12/1/1975,42100
1/1/1976,41600
2/1/1976,42700
3/1/1976,43600
4/1/1976,43300
5/1/1976,43600
6/1/1976,46100
7/1/1976,44600
8/1/1976,44200
9/1/1976,44700
10/1/1976,45300
11/1/1976,45800
12/1/1976,45900
1/1/1977,45500
2/1/1977,47400
3/1/1977,46200
4/1/1977,48700
5/1/1977,49300
6/1/1977,48700
7/1/1977,48600
8/1/1977,49000
9/1/1977,48500
10/1/1977,51400
11/1/1977,51800
12/1/1977,52700
1/1/1978,52300
2/1/1978,53200
3/1/1978,53200
4/1/1978,53300
5/1/1978,55700
6/1/1978,56700
