zip,median_household_income,poverty,education_attainment
15202,46541,10.6,94.4
15209,51847,12.3,93.2
15222,81250,13.5,98.6
15237,76019,3.9,95.3
15227,54357,12.6,90.5
15228,88605,6.3,98
15207,41921,19.2,92.5
15226,52461,9.5,91.6
15235,53259,10.3,95.1
15210,36649,24.7,88
15234,54070,11.8,94.1
15221,40275,19.7,93
15203,50893,22.8,94.6
15238,84038,6.8,96.1
15204,41388,26.2,90.6
15218,50154,13.9,96
15223,49590,11,93.9
15243,82287,4.7,96.5
15213,19925,53,93
15208,34655,28.6,90.9
15216,56470,9.2,94.1
15201,51201,13.4,92.6
15236,61883,6.7,95.7
15211,50628,16.6,94.5
15233,42047,22.8,87.5
15224,42255,22.3,93.7
15217,70597,14.2,97.3
15215,65138,9.2,93.6
15214,40933,21.2,91.4
15219,21795,37.2,85.9
15205,52964,11.6,93.5
15241,107712,3,98.5
15212,40685,20.3,89.6
15239,69028,4.9,95.2
15206,38646,20.2,92.8
15232,49882,19,97.7
15229,62264,6.5,94.5
15220,65679,9.4,94.6
15225,44375,12.9,90.1
