"Address",Latitude,Longitude
"148 46th St, Pittsburgh, PA 15201",40.473956,-79.960612
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St 2a, Pittsburgh, PA 15201",40.458753,-79.975064
"2901 Smallman St 2b, Pittsburgh, PA 15201",40.458881,-79.975063
"2901 Smallman St 3b, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St 3ef, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St 5b, Pittsburgh, PA 15201",40.458857,-79.975191
"2901 Smallman St 5c, Pittsburgh, PA 15201",40.458823,-79.975149
"2901 Smallman St 5d, Pittsburgh, PA 15201",40.458919,-79.974959
"2901 Smallman St 5f, Pittsburgh, PA 15201",40.458787,-79.975106
"2901 Smallman St 6d, Pittsburgh, PA 15201",40.458919,-79.974959
"2904 Penn Ave, Pittsburgh, PA 15201",40.457909,-79.973964
"307 34th St, Pittsburgh, PA 15201",40.461928,-79.96623
"3343 Ligonier St, Pittsburgh, PA 15201",40.461945,-79.966984
"5405 Celadine St, Pittsburgh, PA 15201",40.480044,-79.946921
"5407 Camelia St, Pittsburgh, PA 15201",40.479681,-79.94654
"5412 Camelia St, Pittsburgh, PA 15201",40.4795,-79.946031
"5431 Mccandless Ave, Pittsburgh, PA 15201",40.479769,-79.945292
"5434 Camelia St, Pittsburgh, PA 15201",40.479899,-79.945671
"5501 Mccandless Ave, Pittsburgh, PA 15201",40.479851,-79.945015
"5502 Camelia St, Pittsburgh, PA 15201",40.480171,-79.945163
"5505 Camelia St, Pittsburgh, PA 15201",40.480442,-79.94558
"5510 Camelia St, Pittsburgh, PA 15201",40.480323,-79.945166
"5511 Mccandless Ave, Pittsburgh, PA 15201",40.480033,-79.944759
"5513 Mccandless Ave, Pittsburgh, PA 15201",40.480076,-79.944672
"5514 Camelia St, Pittsburgh, PA 15201",40.480466,-79.945043
"5516 Celadine St, Pittsburgh, PA 15201",40.481044,-79.945687
