long,lat,addr,city,state,zip,url,beds,baths,sqft,date,price
-1,-1,148 46th St,Pittsburgh,PA,15201,https://www.homes.com/property/148-46th-st-pittsburgh-pa-15201/id-400033134841/,6,2,2100,1900,135455
-1,-1,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-1000049535545/,1,1,1599,1998,408489
-1,-1,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-400022755615/,1,2,2063,1998,407451
-1,-1,2901 Smallman St,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-pittsburgh-pa-15201/id-1000049533117/,2,2,1914,1998,494603
-1,-1,2901 Smallman St 2a,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-2a-pittsburgh-pa-15201/id-400022755617/,3,1,2063,1998,425866
-1,-1,2901 Smallman St 2b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-2b-pittsburgh-pa-15201/id-400022755618/,1,2,1861,1998,424103
-1,-1,2901 Smallman St 3b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-3b-pittsburgh-pa-15201/id-400029660788/,3,1,1393,1998,319781
-1,-1,2901 Smallman St 3ef,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-3ef-pittsburgh-pa-15201/id-400029660794/,2,4,2734,1998,347226
-1,-1,2901 Smallman St 5b,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5b-pittsburgh-pa-15201/id-400029660779/,1,2,1861,1998,790269
-1,-1,2901 Smallman St 5c,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5c-pittsburgh-pa-15201/id-400029660780/,2,2,1393,1998,402772
-1,-1,2901 Smallman St 5d,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5d-pittsburgh-pa-15201/id-1000013432449/,1,3,4444,1998,836073
-1,-1,2901 Smallman St 5f,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-5f-pittsburgh-pa-15201/id-400022755616/,2,2,1801,1998,480964
-1,-1,2901 Smallman St 6d,Pittsburgh,PA,15201,https://www.homes.com/property/2901-smallman-st-6d-pittsburgh-pa-15201/id-400029660778/,1,1,1599,1998,418987
-1,-1,2904 Penn Ave,Pittsburgh,PA,15201,https://www.homes.com/property/2904-penn-ave-pittsburgh-pa-15201/id-400038149793/,3,3,1728,1900,314547
-1,-1,307 34th St,Pittsburgh,PA,15201,https://www.homes.com/property/307-34th-st-pittsburgh-pa-15201/id-400022755614/,4,2,2160,1900,190792
-1,-1,3343 Ligonier St,Pittsburgh,PA,15201,https://www.homes.com/property/3343-ligonier-st-pittsburgh-pa-15201/id-400022755608/,3,1,1500,1900,270849
-1,-1,5405 Celadine St,Pittsburgh,PA,15201,https://www.homes.com/property/5405-celadine-st-pittsburgh-pa-15201/id-400022979452/,1,1,934,1924,134562
-1,-1,5407 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5407-camelia-st-pittsburgh-pa-15201/id-400022979455/,2,1,1094,1948,151896
-1,-1,5412 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5412-camelia-st-pittsburgh-pa-15201/id-400022979476/,2,1,1258,1900,83687
-1,-1,5431 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5431-mccandless-ave-pittsburgh-pa-15201/id-400022979540/,4,2,2176,1900,138763
-1,-1,5434 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5434-camelia-st-pittsburgh-pa-15201/id-400022979469/,3,2,1260,1920,110915
-1,-1,5501 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5501-mccandless-ave-pittsburgh-pa-15201/id-400022979539/,2,1,796,1925,54535
-1,-1,5502 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5502-camelia-st-pittsburgh-pa-15201/id-1000048537660/,3,2,1787,1910,172865
-1,-1,5505 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5505-camelia-st-pittsburgh-pa-15201/id-400022979465/,3,1,1344,1929,135455
-1,-1,5510 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5510-camelia-st-pittsburgh-pa-15201/id-400022979659/,4,1,1388,1900,138280
-1,-1,5511 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5511-mccandless-ave-pittsburgh-pa-15201/id-400022979536/,2,1,1173,1927,109468
-1,-1,5513 Mccandless Ave,Pittsburgh,PA,15201,https://www.homes.com/property/5513-mccandless-ave-pittsburgh-pa-15201/id-400022979535/,3,1,1200,1920,134766
-1,-1,5514 Camelia St,Pittsburgh,PA,15201,https://www.homes.com/property/5514-camelia-st-pittsburgh-pa-15201/id-400022979660/,3,2,2188,1950,186204
-1,-1,5516 Celadine St,Pittsburgh,PA,15201,https://www.homes.com/property/5516-celadine-st-pittsburgh-pa-15201/id-400022979443/,2,2,956,1930,142199
