addr,city,state,restaurant_count,restaurant_rating,restaurant_price,shopping_count,shopping_rating,shopping_price
1615 Duffield St,Pittsburgh,PA,3,4.25,1.5,6,3,1
1546 Greentree Rd,Pittsburgh,PA,5,3,1.75,9,3.7,1.8
107 W Pennview St,Pittsburgh,PA,3,1.5,1,8,5,2
439 W Sycamore St,Pittsburgh,PA,56,4,2.2,21,3.65,2
4375 New Texas Rd,Pittsburgh,PA,0,-1,-1,27,4.6,2.2
1910 Lafayette St,Pittsburgh,PA,22,3.094,1.312,36,3.25,1.5
4661 Gangwish St,Pittsburgh,PA,71,4.125,1.7,62,4.474,2.053
2027 Lowrie St,Pittsburgh,PA,10,3.4,1.6,12,1,2
113 Jucunda St,Pittsburgh,PA,23,3.577,1.385,26,4,1.5
2378 E Beckert Ave,Pittsburgh,PA,14,4.286,1.429,74,4.469,2.062
2532 Woodward Ave,Pittsburgh,PA,26,3.6,1.3,24,4.056,2.333
117 Davis St,Pittsburgh,PA,18,4.042,1.583,79,4.469,2.062
3316 Dawson St,Pittsburgh,PA,81,3.9,1.35,45,3.765,2
1317 Firwood Dr,Pittsburgh,PA,2,3,2,4,1.75,2
4809 Gardenville Rd,Pittsburgh,PA,3,3.75,1.5,3,3,2
1222 Tybee St,Pittsburgh,PA,4,-1,-1,7,-1,-1
2623 Stromberg St,Pittsburgh,PA,61,3.95,1.9,67,4.025,2.05
1389 Washington Rd,Pittsburgh,PA,16,3.773,1.818,97,4.147,2.118
522 Lincoln Ave,Pittsburgh,PA,12,3.111,1.222,38,3.938,2.375
624 Driftwood Dr,Pittsburgh,PA,2,4,1,2,-1,-1
7003 Blackhawk St,Pittsburgh,PA,10,3.071,1.143,16,3.1,2
1509 Orchardview Dr,Pittsburgh,PA,3,2.5,1.5,8,3.375,2
6328 Crombie St,Pittsburgh,PA,59,4.05,1.65,76,4.306,2.111
2740 Mission St,Pittsburgh,PA,55,3.925,1.9,55,3.95,2
1036 Sanda Dr,Pittsburgh,PA,2,4,2,0,-1,-1
228 Sample St,Pittsburgh,PA,96,3.825,1.35,51,3.806,2.056
208 Falconhurst Dr N,Pittsburgh,PA,0,-1,-1,34,4.125,2.375
335 Roberts Rd,Pittsburgh,PA,2,2.5,1,2,-1,-1
2 Rolling Hills Ct,Pittsburgh,PA,1,-1,-1,27,4.6,2.2
168 6th Ave,Pittsburgh,PA,8,3.429,1.429,14,4.667,1.667
2 Patton Dr,Pittsburgh,PA,32,3.421,1.737,141,3.944,2.389
130 Merrimac St,Pittsburgh,PA,46,3.9,2.15,20,3.778,2
227 S Home Ave 709,Pittsburgh,PA,30,3.5,1.316,97,4.406,1.875
1779 Norsen Dr,Pittsburgh,PA,3,4,1.667,9,2.75,2
2017 Blvd Of The Allies,Pittsburgh,PA,101,4.2,1.8,139,4.263,1.842
57 Florence Dr,Pittsburgh,PA,2,4,1,2,-1,-1
618 Orchard Hill Dr,Pittsburgh,PA,2,4,1,34,4.125,2.375
